birth_rate,country,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,no_of_records,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,region,tourism_inbound,tourism_outbound,year,header,personal,business,total,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
0.019,albania,3686649387,0.064,70,0.023,0,77,71,0,1,0.303,0.628,0.068,3089027,0.417,Europe,398000000,290000000,2000,Data,218,77,295,0.2,14,2,295,1,0.4,4
0.013,armenia,1911563665,0.063,39,0.027,0,75,68,0,1,0.259,0.641,0.1,3076098,0.647,Asia,52000000,56000000,2000,Data,41,4,45,0,8,1,25,2,9,0
0.042,burundi,870486066,0.063,7,0.092,0,49,47,0,1,0.49,0.481,0.029,6674286,0.082,Africa,1400000,14000000,2000,Data,19,10,29,14,2,1,12,0,0,0
0.028,cambodia,3654031716,0.063,19,0.082,0,65,59,0,1,0.408,0.554,0.038,12222871,0.186,Asia,345000000,52000000,2000,Data,304,47,351,0,42,152,66,0,3,0
0.011,canada,7.39E+11,0.088,2090,0.005,0.5,82,77,0.3,1,0.192,0.683,0.125,30769700,0.795,The Americas,13035000000,15125000000,2000,Data,16712,2842,19554,65,15605,1340,2499,45,74,0
0.039,central african republic,914500332,0.043,11,0.113,0,45,42,0,1,0.423,0.537,0.04,3638316,0.376,Africa,5000000,33000000,2000,Data,6,5,11,5.4,0.9,1.2,3.6,0.1,0,0
0.017,chile,79328640264,0.077,390,0.009,0.2,80,74,0.2,1,0.278,0.65,0.072,15454402,0.861,The Americas,1179000000,904000000,2000,Data,1494,248,1742,2,1457,37,240,1,3,2
0.023,colombia,99886577576,0.059,148,0.021,0,75,67,0.1,1,0.328,0.624,0.047,39897984,0.721,The Americas,1313000000,1452000000,2000,Data,490,68,558,1,413,13,127,1,1,1
0.02,costa rica,15946443103,0.071,287,0.011,0.1,80,75,0.1,1,0.315,0.631,0.055,3929588,0.59,The Americas,1477000000,551000000,2000,Data,829,259,1088,1,907,16,157,0,0,7
0.013,cyprus,9314937556,0.058,744,0.006,0.2,80,76,0.2,1,0.224,0.674,0.102,943287,0.686,Europe,2137000000,543000000,2000,Data,2541,145,2686,10,39,19,2554,52,9,3
0.025,dominican republic,23996656676,0.063,173,0.033,0,74,68,0.1,1,0.349,0.599,0.051,8663421,0.617,The Americas,2860000000,440000000,2000,Data,2855,117,2972,0,1153,3,1283,0,0,535
0.025,el salvador,13134100000,0.081,179,0.027,0,74,65,0.1,1,0.383,0.562,0.055,5958794,0.589,The Americas,437000000,219000000,2000,Data,490,304,794,0,720,3,27,0,0,45
0.01,estonia,5675697575,0.053,213,0.009,0.3,76,65,0.4,1,0.18,0.669,0.152,1396985,0.694,Europe,657000000,253000000,2000,Data,2549,761,3310,0,0,0,0,0,0,0
0.044,ethiopia,8091384891,0.043,5,0.09,0,53,51,0,1,0.466,0.503,0.031,66024199,0.147,Africa,205000000,80000000,2000,Data,74,35,109,34,20,5,33,15,3,27
0.025,fiji,1684109743,0.039,80,0.021,0,70,65,0.1,1,0.351,0.615,0.034,811647,0.479,Oceania,291000000,96000000,2000,Data,272,22,294,0,63,178,52,0,0,1
0.011,finland,1.22E+11,0.072,1700,0.004,0.4,81,74,0.7,1,0.182,0.669,0.149,5176209,0.822,Europe,2035000000,2293000000,2000,Data,2527,1262,3789,10,154,130,3487,2,6,0
0.035,ghana,4982849054,0.048,13,0.065,0,58,56,0,1,0.414,0.556,0.03,18825034,0.439,Africa,357000000,162000000,2000,Data,254,145,399,136,34,19,99,3,0,108
0.019,grenada,523256355,0.066,339,0.014,0,73,68,0,1,0.35,0.572,0.078,101620,0.359,The Americas,93000000,8000000,2000,Data,71,12,83,0,62,1,46,0,0,18
0.042,guinea,2995360969,0.056,19,0.103,0,51,51,0,1,0.44,0.525,0.034,8746128,0.31,Africa,7800000,13000000,2000,Data,16,16,32,13,4,1,14,0,0,0
0.032,honduras,7105529647,0.066,76,0.031,0,73,68,0,1,0.424,0.537,0.039,6235561,0.455,The Americas,263000000,198000000,2000,Data,402,69,471,0.2,420,7,43,0.1,0.2,0.2
0.026,india,4.77E+11,0.043,20,0.067,0,63,61,0,1,0.342,0.614,0.044,1042261758,0.277,Asia,3598000000,3686000000,2000,Data,2043,110,2153,91,455,364,955,69,674,42
0.022,indonesia,1.65E+11,0.02,15,0.041,0,69,65,0,1,0.307,0.647,0.047,208938698,0.42,Asia,4975000000,3197000000,2000,Data,2971,2093,5064,38,232,3909,800,35,50,0
0.014,ireland,97331522066,0.061,1572,0.006,0.2,79,74,0.6,1,0.218,0.67,0.112,3805174,0.591,Europe,3517000000,2626000000,2000,Data,4817,1829,6646,27,1068,222,5329,0,0,0
