,Actual value,Predicted value,birth_rate,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,tourism_inbound,tourism_outbound,personal,business,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
16,73.89830508474576,82.88618895509725,0.019,3686649387.0,0.064,70.0,0.023,0.0,77.0,71.0,0.0,0.303,0.628,0.068,3089027.0,0.417,398000000.0,290000000.0,218.0,77.0,0.2,14.0,2.0,295.0,1.0,0.4,4.0
726,88.82235528942117,85.24349345750582,0.019,18881765437.0,0.039,38.0,0.013,0.0,77.0,70.0,0.1,0.258,0.675,0.067,19173000.0,0.184,709000000.0,462000000.0,445.0,56.0,2.0,26.0,84.0,266.0,7.0,116.0,0.0
1290,85.61771769100773,87.37257064345258,0.01,989931000000.0,0.053,365.0,0.013,0.2,73.0,60.0,1.0,0.149,0.713,0.138,142487260.0,0.735,9720000000.0,19478000000.0,19252.0,3234.0,28.0,533.0,1346.0,19873.0,33.0,72.0,601.0
2508,98.80478087649402,89.81761854139424,0.013,12344532541.0,0.06,228.0,0.014,0.5,80.0,74.0,1.1,0.213,0.681,0.106,2801681.0,0.543,1623000000.0,1374000000.0,3472.0,42.0,1.0,74.0,20.0,3214.0,2.0,1.0,202.0
862,71.29745515227367,76.52432318182403,0.019,663760000000.0,0.071,257.0,0.022,0.2,75.0,68.0,0.4,0.28,0.66,0.06,184010283.0,0.825,3389000000.0,3752000000.0,3418.0,1376.0,65.0,2703.0,156.0,1860.0,6.0,0.0,4.0
1505,77.11927981995498,76.24381233688035,0.018,33050343783.0,0.051,192.0,0.039,0.1,73.0,67.0,0.5,0.243,0.693,0.063,8581300.0,0.528,317000000.0,381000000.0,1028.0,305.0,1.0,11.0,8.0,1104.0,2.0,205.0,1.0
112,56.01750547045952,59.50918952065027,0.045,3253551750.0,0.056,18.0,0.1,0.0,42.0,42.0,0.0,0.457,0.515,0.027,10100981.0,0.348,67000000.0,102000000.0,256.0,201.0,294.0,27.0,28.0,105.0,0.0,2.0,0.0
1359,79.62962962962963,72.45906017712838,0.028,4879738636.0,0.057,30.0,0.064,0.1,62.0,58.0,0.1,0.377,0.581,0.042,9388642.0,0.458,126000000.0,239000000.0,86.0,22.0,0.0,99.0,0.0,7.0,0.0,0.0,2.0
2040,66.26466215099951,62.052469032936074,0.042,169481000000.0,0.068,74.0,0.085,0.2,51.0,51.0,0.5,0.439,0.534,0.027,155381020.0,0.426,791000000.0,6236000000.0,4011.0,2042.0,4175.0,256.0,351.0,1001.0,110.0,143.0,17.0
671,86.76470588235294,71.21740742804661,0.03,2826481072.0,0.053,17.0,0.069,0.0,60.0,57.0,0.0,0.389,0.57,0.041,8996229.0,0.406,96000000.0,202000000.0,118.0,18.0,0.0,125.0,0.0,8.0,0.0,0.0,3.0
1543,76.27118644067797,74.63846023403366,0.021,104850000000.0,0.034,233.0,0.025,0.0,73.0,61.0,0.8,0.244,0.682,0.073,15484192.0,0.543,1213000000.0,1396000000.0,4050.0,1260.0,2.0,33.0,220.0,5019.0,5.0,26.0,6.0
259,55.417956656346746,53.32441845108167,0.045,4075049537.0,0.056,12.0,0.109,0.0,49.0,46.0,0.0,0.44,0.529,0.032,18785719.0,0.293,64000000.0,132000000.0,179.0,144.0,368.0,0.0,0.0,37.0,0.0,0.0,0.0
1952,97.36842105263158,71.81072395525797,0.037,196473839.0,0.075,94.0,0.041,0.2,68.0,64.0,0.5,0.416,0.547,0.037,173240.0,0.612,8300000.0,400000.0,14.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1410,70.15706806282722,82.56764709722228,0.014,6384457744.0,0.046,97.0,0.02,0.1,77.0,70.0,0.4,0.214,0.67,0.116,3002911.0,0.642,307000000.0,321000000.0,268.0,114.0,0.0,98.0,16.0,203.0,33.0,32.0,0.0
877,95.53822435839304,95.06741585138312,0.012,244728000000.0,0.097,4387.0,0.004,0.8,80.0,75.0,1.0,0.188,0.662,0.15,5404523.0,0.856,5652000000.0,7279000000.0,21070.0,984.0,0.0,126.0,83.0,4065.0,0.0,0.0,147.0
1677,72.80513918629549,82.89898930820539,0.022,79554350678.0,0.035,19.0,0.043,0.0,69.0,68.0,0.3,0.327,0.628,0.045,147969967.0,0.29,75000000.0,735000000.0,340.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2660,67.36401673640168,82.75762459753017,0.031,999972421.0,0.08,148.0,0.026,0.1,69.0,66.0,0.6,0.404,0.563,0.033,549598.0,0.21,66900000.0,68000000.0,16.1,7.8,0.0,1.4,21.2,1.1,0.0,0.0,0.2
2120,80.1086127193573,80.37982128563476,0.013,1524920000000.0,0.063,669.0,0.01,0.4,75.0,63.0,1.7,0.149,0.72,0.131,142385523.0,0.737,13239000000.0,30169000000.0,17849.0,4432.0,37.0,421.0,1358.0,19569.0,41.0,89.0,766.0
2019,84.60128322639781,84.88005289337374,0.021,20661000000.0,0.068,228.0,0.016,0.1,76.0,67.0,1.2,0.328,0.604,0.068,6183484.0,0.638,549000000.0,253000000.0,923.0,168.0,0.0,1067.0,5.0,19.0,0.0,0.0,0.0
42,63.65914786967418,70.22365784469801,0.035,4982849054.0,0.048,13.0,0.065,0.0,58.0,56.0,0.0,0.414,0.556,0.03,18825034.0,0.439,357000000.0,162000000.0,254.0,145.0,136.0,34.0,19.0,99.0,3.0,0.0,108.0
2191,75.64102564102564,76.52029087365179,0.035,29385611867.0,0.047,14.0,0.051,0.0,63.0,60.0,0.1,0.444,0.523,0.033,87095281.0,0.173,1434000000.0,143000000.0,354.0,114.0,140.0,95.0,39.0,137.0,42.0,15.0,0.0
1787,93.54354354354354,84.27073221522119,0.015,30366148205.0,0.08,722.0,0.011,0.4,80.0,73.0,1.0,0.23,0.632,0.137,3348898.0,0.94,1195000000.0,466000000.0,1869.0,129.0,0.0,1544.0,14.0,139.0,0.0,0.0,300.0
937,87.65862944162437,89.80220914068616,0.01,591017000000.0,0.052,212.0,0.015,0.1,72.0,59.0,0.5,0.156,0.707,0.136,143821212.0,0.734,7262000000.0,16082000000.0,19341.0,2723.0,29.0,477.0,1314.0,19607.0,32.0,63.0,542.0
301,90.76701328116957,98.44074581707284,0.01,608856000000.0,0.072,1089.0,0.005,0.2,83.0,76.0,0.7,0.146,0.685,0.169,40756001.0,0.763,33829000000.0,8466000000.0,44081.0,4484.0,0.0,2125.0,256.0,45019.0,0.0,0.0,1165.0
1239,94.28571428571428,88.43749193534055,0.019,1001970945.0,0.045,544.0,0.011,0.3,77.0,72.0,1.0,0.283,0.644,0.073,82565.0,0.292,309000000.0,40000000.0,231.0,14.0,0.0,128.0,0.0,108.0,0.0,0.0,9.0
2265,51.75879396984925,70.57028411382748,0.038,6558416322.0,0.043,30.0,0.062,0.0,60.0,57.0,0.7,0.434,0.537,0.029,9509798.0,0.419,149000000.0,91000000.0,103.0,96.0,138.0,3.2,0.8,32.9,2.4,0.8,21.4
1130,63.084112149532714,71.4921267142231,0.034,10731883141.0,0.07,35.0,0.058,0.0,60.0,58.0,0.1,0.402,0.564,0.034,21384034.0,0.473,867000000.0,472000000.0,270.0,158.0,173.0,63.0,11.0,100.0,11.0,11.0,60.0
2064,81.35618042647673,83.65003465734804,0.017,378496000000.0,0.094,726.0,0.013,0.3,79.0,72.0,1.3,0.251,0.643,0.105,40023641.0,0.908,4476000000.0,5766000000.0,1694.323,388.276,0.0,3392.0,0.0,722.0,0.0,0.0,194.0
630,82.2429906542056,46.683497068846634,0.05,14188949240.0,0.049,45.0,0.125,0.0,49.0,46.0,0.0,0.477,0.498,0.025,15421075.0,0.346,63000000.0,49000000.0,88.0,19.0,31.0,15.0,5.0,55.0,0.0,0.0,0.0
2584,80.96523881927332,55.57217382321531,0.009,2013270000000.0,0.092,3032.0,0.003,0.6,86.0,80.0,1.6,0.14,0.651,0.208,59539717.0,0.686,43036000000.0,32798000000.0,61770.0,14522.0,278.8,4757.3,1656.9,68797.1,380.6,422.1,0.0
