Personal,Business,Africa,Americas,East Asia and Pacific,Europe,Middle East,South Asia,Other not Classified,Birth Rate,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Personal Percentage,Business Percentage,Higher Tourism Percentage
218.0,77.0,0.2,14.0,2.0,295.0,1.0,0.4,4.0,0.019,3686649387.0,0.064,70.0,0.023,0.0,77.0,71.0,0.0,1.0,0.303,0.628,0.068,3089027.0,0.417,398000000.0,290000000.0,73.89830508474576,26.101694915254235,Business
46.0,5.0,8.0,8.0,3.0,31.0,0.0,1.0,0.0,0.05,9129594819.0,0.034,22.0,0.128,0.0,47.0,44.0,0.0,1.0,0.476,0.499,0.025,13924930.0,0.324,34000000.0,146000000.0,90.19607843137256,9.803921568627452,Personal
41.0,4.0,0.0,8.0,1.0,25.0,2.0,9.0,0.0,0.013,1911563665.0,0.063,39.0,0.027,0.0,75.0,68.0,0.0,1.0,0.259,0.641,0.1,3076098.0,0.647,52000000.0,56000000.0,91.11111111111111,8.88888888888889,Personal
4080.0,851.0,79.0,621.0,2912.0,1212.0,35.0,60.0,13.0,0.013,415208189412.0,0.081,1713.0,0.005,0.5,82.0,77.0,0.4,1.0,0.207,0.669,0.124,19153000.0,0.872,13016000000.0,8780000000.0,82.741837355506,17.258162644494018,Business
75.0,606.0,0.0,0.0,0.0,359.0,0.0,242.0,79.0,0.015,5272617196.0,0.047,30.0,0.061,0.0,70.0,64.0,0.1,1.0,0.311,0.633,0.056,8048600.0,0.514,68000000.0,138000000.0,11.013215859030836,88.98678414096916,Business
3610.0,259.0,32.0,121.0,107.0,216.0,3060.0,332.0,0.0,0.021,9063147901.0,0.035,476.0,0.011,0.1,76.0,74.0,0.3,1.0,0.308,0.667,0.024,668239.0,0.884,854000000.0,425000000.0,93.30576376324632,6.6942362367536825,Personal
159.0,40.0,2.0,15.0,38.0,46.0,4.0,94.0,0.0,0.027,47124925462.0,0.028,10.0,0.064,0.0,66.0,65.0,0.0,1.0,0.37,0.59,0.041,132383265.0,0.236,50000000.0,471000000.0,79.89949748743719,20.100502512562816,Business
485.0,60.0,1.0,278.0,2.0,262.0,0.0,0.0,0.0,0.013,3119500000.0,0.063,602.0,0.015,0.0,75.0,71.0,0.1,1.0,0.219,0.666,0.115,267190.0,0.338,733000000.0,141000000.0,88.9908256880734,11.009174311926607,Personal
1795.0,235.0,0.0,3.0,1.0,56.0,0.0,0.0,0.0,0.009,12736856485.0,0.061,64.0,0.011,0.0,75.0,63.0,0.0,1.0,0.186,0.679,0.134,10005000.0,0.7,188000000.0,247000000.0,88.42364532019704,11.576354679802956,Personal
3974.0,2483.0,64.0,449.0,297.0,5550.0,20.0,23.0,54.0,0.011,232672747374.0,0.081,1845.0,0.005,0.3,81.0,75.0,0.5,1.0,0.176,0.655,0.169,10251250.0,0.971,6592000000.0,9429000000.0,61.54560941613752,38.45439058386248,Business
187.0,9.0,0.0,150.0,3.0,28.0,0.0,0.0,14.0,0.029,831750000.0,0.04,139.0,0.021,0.1,74.0,67.0,0.1,1.0,0.402,0.555,0.043,238586.0,0.477,111000000.0,44000000.0,95.40816326530613,4.591836734693878,Personal
19.0,77.0,50.1,4.7,0.5,39.9,0.6,0.3,0.0,0.043,2359122303.0,0.043,15.0,0.09,0.0,57.0,53.0,0.0,1.0,0.454,0.517,0.029,6949366.0,0.383,77000000.0,50000000.0,19.791666666666664,80.20833333333334,Business
961.0,143.0,914.0,27.0,15.0,66.0,0.0,2.0,80.0,0.027,5788311645.0,0.047,152.0,0.054,0.0,52.0,49.0,0.1,1.0,0.383,0.587,0.029,1755375.0,0.532,227000000.0,209000000.0,87.04710144927536,12.952898550724637,Personal
3833.0,1480.0,35.0,3803.0,122.0,1320.0,11.0,0.0,22.0,0.021,644701831101.0,0.072,265.0,0.029,0.0,74.0,67.0,0.1,1.0,0.296,0.649,0.055,174504898.0,0.812,1969000000.0,4548000000.0,72.14379823075475,27.85620176924525,Business
4744.0,178.0,3.0,42.0,24.0,4780.0,17.0,16.0,39.0,0.009,12903546765.0,0.062,98.0,0.018,0.1,75.0,68.0,0.1,1.0,0.157,0.677,0.166,8170172.0,0.689,1364000000.0,764000000.0,96.38358390898009,3.6164160910199104,Personal
67.0,98.0,47.0,8.0,4.0,63.0,1.0,0.0,3.0,0.046,2610959139.0,0.051,12.0,0.096,0.0,52.0,49.0,0.0,1.0,0.468,0.505,0.028,11607944.0,0.178,23000000.0,30000000.0,40.60606060606061,59.3939393939394,Business
19.0,10.0,14.0,2.0,1.0,12.0,0.0,0.0,0.0,0.042,870486066.0,0.063,7.0,0.092,0.0,49.0,47.0,0.0,1.0,0.49,0.481,0.029,6674286.0,0.082,1400000.0,14000000.0,65.51724137931035,34.48275862068966,Business
304.0,47.0,0.0,42.0,152.0,66.0,0.0,3.0,0.0,0.028,3654031716.0,0.063,19.0,0.082,0.0,65.0,59.0,0.0,1.0,0.408,0.554,0.038,12222871.0,0.186,345000000.0,52000000.0,86.6096866096866,13.390313390313391,Personal
16712.0,2842.0,65.0,15605.0,1340.0,2499.0,45.0,74.0,0.0,0.011,739455928894.0,0.088,2090.0,0.005,0.5,82.0,77.0,0.3,1.0,0.192,0.683,0.125,30769700.0,0.795,13035000000.0,15125000000.0,85.46588933210596,14.534110667894037,Personal
6.0,5.0,5.4,0.9,1.2,3.6,0.1,0.0,0.0,0.039,914500332.0,0.043,11.0,0.113,0.0,45.0,42.0,0.0,1.0,0.423,0.537,0.04,3638316.0,0.376,5000000.0,33000000.0,54.54545454545454,45.45454545454545,Business
1494.0,248.0,2.0,1457.0,37.0,240.0,1.0,3.0,2.0,0.017,79328640264.0,0.077,390.0,0.009,0.2,80.0,74.0,0.2,1.0,0.278,0.65,0.072,15454402.0,0.861,1179000000.0,904000000.0,85.76349024110218,14.236509758897819,Personal
490.0,68.0,1.0,413.0,13.0,127.0,1.0,1.0,1.0,0.023,99886577576.0,0.059,148.0,0.021,0.0,75.0,67.0,0.1,1.0,0.328,0.624,0.047,39897984.0,0.721,1313000000.0,1452000000.0,87.81362007168458,12.186379928315413,Personal
829.0,259.0,1.0,907.0,16.0,157.0,0.0,0.0,7.0,0.02,15946443103.0,0.071,287.0,0.011,0.1,80.0,75.0,0.1,1.0,0.315,0.631,0.055,3929588.0,0.59,1477000000.0,551000000.0,76.19485294117648,23.80514705882353,Business
2541.0,145.0,10.0,39.0,19.0,2554.0,52.0,9.0,3.0,0.013,9314937556.0,0.058,744.0,0.006,0.2,80.0,76.0,0.2,1.0,0.224,0.674,0.102,943287.0,0.686,2137000000.0,543000000.0,94.60163812360388,5.398361876396128,Personal
2855.0,117.0,0.0,1153.0,3.0,1283.0,0.0,0.0,535.0,0.025,23996656676.0,0.063,173.0,0.033,0.0,74.0,68.0,0.1,1.0,0.349,0.599,0.051,8663421.0,0.617,2860000000.0,440000000.0,96.06325706594886,3.936742934051144,Personal
490.0,304.0,0.0,720.0,3.0,27.0,0.0,0.0,45.0,0.025,13134100000.0,0.081,179.0,0.027,0.0,74.0,65.0,0.1,1.0,0.383,0.562,0.055,5958794.0,0.589,437000000.0,219000000.0,61.712846347607055,38.287153652392945,Business
2549.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5675697575.0,0.053,213.0,0.009,0.3,76.0,65.0,0.4,1.0,0.18,0.669,0.152,1396985.0,0.694,657000000.0,253000000.0,77.00906344410876,22.99093655589124,Business
74.0,35.0,34.0,20.0,5.0,33.0,15.0,3.0,27.0,0.044,8091384891.0,0.043,5.0,0.09,0.0,53.0,51.0,0.0,1.0,0.466,0.503,0.031,66024199.0,0.147,205000000.0,80000000.0,67.88990825688074,32.11009174311927,Business
272.0,22.0,0.0,63.0,178.0,52.0,0.0,0.0,1.0,0.025,1684109743.0,0.039,80.0,0.021,0.0,70.0,65.0,0.1,1.0,0.351,0.615,0.034,811647.0,0.479,291000000.0,96000000.0,92.51700680272108,7.482993197278912,Personal
2527.0,1262.0,10.0,154.0,130.0,3487.0,2.0,6.0,0.0,0.011,121793808734.0,0.072,1700.0,0.004,0.4,81.0,74.0,0.7,1.0,0.182,0.669,0.149,5176209.0,0.822,2035000000.0,2293000000.0,66.69305885457905,33.30694114542096,Business
254.0,145.0,136.0,34.0,19.0,99.0,3.0,0.0,108.0,0.035,4982849054.0,0.048,13.0,0.065,0.0,58.0,56.0,0.0,1.0,0.414,0.556,0.03,18825034.0,0.439,357000000.0,162000000.0,63.65914786967418,36.340852130325814,Business
71.0,12.0,0.0,62.0,1.0,46.0,0.0,0.0,18.0,0.019,523256355.0,0.066,339.0,0.014,0.0,73.0,68.0,0.0,1.0,0.35,0.572,0.078,101620.0,0.359,93000000.0,8000000.0,85.54216867469879,14.457831325301203,Personal
16.0,16.0,13.0,4.0,1.0,14.0,0.0,0.0,0.0,0.042,2995360969.0,0.056,19.0,0.103,0.0,51.0,51.0,0.0,1.0,0.44,0.525,0.034,8746128.0,0.31,7800000.0,13000000.0,50.0,50.0,Business
402.0,69.0,0.2,420.0,7.0,43.0,0.1,0.2,0.2,0.032,7105529647.0,0.066,76.0,0.031,0.0,73.0,68.0,0.0,1.0,0.424,0.537,0.039,6235561.0,0.455,263000000.0,198000000.0,85.35031847133759,14.64968152866242,Personal
2043.0,110.0,91.0,455.0,364.0,955.0,69.0,674.0,42.0,0.026,476609148166.0,0.043,20.0,0.067,0.0,63.0,61.0,0.0,1.0,0.342,0.614,0.044,1042261758.0,0.277,3598000000.0,3686000000.0,94.8908499767766,5.1091500232234095,Personal
2971.0,2093.0,38.0,232.0,3909.0,800.0,35.0,50.0,0.0,0.022,165021012262.0,0.02,15.0,0.041,0.0,69.0,65.0,0.0,1.0,0.307,0.647,0.047,208938698.0,0.42,4975000000.0,3197000000.0,58.669036334913116,41.33096366508689,Business
4817.0,1829.0,27.0,1068.0,222.0,5329.0,0.0,0.0,0.0,0.014,97331522066.0,0.061,1572.0,0.006,0.2,79.0,74.0,0.6,1.0,0.218,0.67,0.112,3805174.0,0.591,3517000000.0,2626000000.0,72.47968702979236,27.520312970207645,Business
2127.0,266.0,45.0,684.0,111.0,1442.0,108.0,19.0,7.0,0.022,124895151203.0,0.074,1454.0,0.006,0.2,81.0,77.0,0.7,1.0,0.281,0.619,0.1,6289000.0,0.912,4611000000.0,3733000000.0,88.88424571667363,11.11575428332637,Personal
52961.0,9741.0,213.7,2292.3,1362.6,58643.0,97.5,93.2,0.0,0.01,1104009462562.0,0.079,1527.0,0.005,0.2,83.0,77.0,0.7,1.0,0.143,0.674,0.183,56942108.0,0.672,28706000000.0,18169000000.0,84.46461037925424,15.535389620745748,Business
1256.0,67.0,1.0,1109.0,11.0,200.0,0.0,1.0,0.0,0.021,9008629729.0,0.055,189.0,0.02,0.0,73.0,68.0,0.1,1.0,0.327,0.599,0.075,2589389.0,0.518,1577000000.0,238000000.0,94.93575207860923,5.064247921390779,Personal
3464.0,1293.0,15.0,899.0,3149.0,625.0,3.0,64.0,3.0,0.009,4731198760271.0,0.076,2834.0,0.003,0.3,85.0,78.0,0.5,1.0,0.146,0.682,0.172,126870000.0,0.786,5970000000.0,42643000000.0,72.8190035736809,27.18099642631911,Business
938.0,98.0,282.0,88.0,46.0,595.0,0.0,25.0,0.0,0.039,12705350153.0,0.047,19.0,0.069,0.0,54.0,52.0,0.0,1.0,0.442,0.531,0.028,31285050.0,0.199,500000000.0,156000000.0,90.54054054054053,9.45945945945946,Personal
42.3,36.6,17.0,39.0,95.0,71.0,1191.0,518.0,12.0,0.024,37718011469.0,0.025,494.0,0.011,0.1,74.0,72.0,0.3,1.0,0.257,0.712,0.031,1906231.0,0.981,394000000.0,2852000000.0,53.61216730038022,46.38783269961977,Business
1484.0,430.0,0.0,16.0,8.0,1889.0,0.0,1.0,0.0,0.009,7833068425.0,0.06,197.0,0.015,0.1,76.0,65.0,0.2,1.0,0.179,0.671,0.15,2367550.0,0.681,172000000.0,281000000.0,77.53396029258099,22.466039707419018,Business
256.0,45.0,293.0,1.0,2.0,6.0,0.0,0.0,0.0,0.031,771200632.0,0.069,29.0,0.081,0.0,48.0,47.0,0.0,1.0,0.412,0.543,0.045,1856225.0,0.195,18000000.0,195000000.0,85.04983388704319,14.950166112956811,Personal
124.0,50.0,533.0,1.0,2.0,34.0,392.0,1.0,0.0,0.022,33896600871.0,0.034,252.0,0.024,0.0,74.0,70.0,0.0,1.0,0.333,0.628,0.039,5176185.0,0.763,84000000.0,495000000.0,71.26436781609196,28.735632183908045,Business
746.0,337.0,0.0,15.0,9.0,272.0,0.0,0.0,3.0,0.01,11434200000.0,0.065,212.0,0.01,0.1,78.0,67.0,0.2,1.0,0.199,0.662,0.139,3499536.0,0.67,430000000.0,261000000.0,68.88273314866112,31.117266851338876,Business
131.0,29.0,24.0,6.0,2.0,110.0,0.0,0.0,17.0,0.041,3877673635.0,0.05,12.0,0.071,0.0,60.0,57.0,0.0,1.0,0.455,0.515,0.03,15744811.0,0.271,152000000.0,139000000.0,81.875,18.125,Business
103.0,124.0,171.0,11.0,0.0,38.0,0.0,0.0,8.0,0.045,1743506287.0,0.061,9.0,0.103,0.0,46.0,46.0,0.0,1.0,0.458,0.511,0.031,11321496.0,0.146,29000000.0,53000000.0,45.37444933920705,54.62555066079295,Business
8554.0,1055.0,74.0,308.0,8716.0,590.0,44.0,180.0,308.0,0.023,93789473684.0,0.03,120.0,0.009,0.2,75.0,71.0,0.2,1.0,0.333,0.628,0.038,23420751.0,0.62,5873000000.0,2543000000.0,89.02070975127485,10.979290248725153,Personal
467.0,0.0,2.0,7.0,73.0,362.0,1.0,21.0,0.0,0.025,624337144.0,0.071,162.0,0.035,0.0,70.0,69.0,0.0,1.0,0.413,0.549,0.038,272745.0,0.277,321000000.0,60000000.0,100.0,0.0,Personal
651.5,27.0,164.0,8.0,24.0,440.0,1.0,20.0,0.0,0.017,4582562398.0,0.037,146.0,0.016,0.1,75.0,68.0,0.2,1.0,0.258,0.681,0.061,1186873.0,0.427,732000000.0,203000000.0,96.02063375092115,3.97936624907885,Personal
20057.0,584.0,0.0,19950.0,0.0,401.0,0.0,0.0,291.0,0.024,683647980782.0,0.051,328.0,0.022,0.1,77.0,72.0,0.1,1.0,0.341,0.61,0.049,103873607.0,0.747,9133000000.0,6365000000.0,97.17067971513008,2.8293202848699193,Personal
136.4,17.8,0.2,7.1,79.2,67.0,0.1,0.6,0.0,0.019,1136896162.0,0.047,22.0,0.049,0.0,66.0,60.0,0.1,1.0,0.348,0.615,0.037,2397473.0,0.571,43000000.0,54000000.0,88.45654993514916,11.543450064850843,Personal
3992.0,287.0,89.0,179.0,49.0,1919.0,79.0,5.0,1959.0,0.022,37020609825.0,0.042,54.0,0.043,0.0,70.0,67.0,0.1,1.0,0.341,0.613,0.047,28710123.0,0.533,2280000000.0,506000000.0,93.29282542650152,6.707174573498481,Personal
408.0,56.0,2.0,53.0,112.0,168.0,0.0,128.0,0.0,0.033,5494252208.0,0.05,12.0,0.06,0.0,63.0,61.0,0.0,1.0,0.404,0.558,0.038,23184177.0,0.134,219000000.0,109000000.0,87.93103448275862,12.068965517241379,Personal
